Timestamp,rms
4/16/26 0:24,2006.66
4/16/26 0:24,1369.73
4/16/26 0:24,1582.36
4/16/26 0:24,1547.73
4/16/26 0:24,2235.48
4/16/26 0:24,1484.04
4/16/26 0:24,888.27
4/16/26 0:24,5197.88
4/16/26 0:24,43703.94
4/16/26 0:24,9122.35
4/16/26 0:24,6835.76
4/16/26 0:24,21400.07
4/16/26 0:24,22685.97
4/16/26 0:24,3755.18
4/16/26 0:24,2144.28
4/16/26 0:24,22618.76
4/16/26 0:24,3686.68
4/16/26 0:24,1748.08
4/16/26 0:24,1366.04
4/16/26 0:24,2823.46
4/16/26 0:24,30585.86
4/16/26 0:24,10495.31
4/16/26 0:24,14122.83
4/16/26 0:24,29061.6
4/16/26 0:24,37036.79
4/16/26 0:24,2803.57
4/16/26 0:24,4398.45
4/16/26 0:24,1191.61
4/16/26 0:24,3285.67
4/16/26 0:24,1673.57
4/16/26 0:24,1649.98
4/16/26 0:24,1948.09
4/16/26 0:24,34037.78
4/16/26 0:24,30310.69
4/16/26 0:24,25783.66
4/16/26 0:24,28376.71
4/16/26 0:24,30387.66
4/16/26 0:24,29676.67
4/16/26 0:24,40804.5
4/16/26 0:24,40795.92
4/16/26 0:24,27107.42
4/16/26 0:24,17381.9
4/16/26 0:24,2247
4/16/26 0:24,1776.69
4/16/26 0:24,1872.55
4/16/26 0:24,3418.57
4/16/26 0:24,23761.93
